source	zh	note
CREATURE BINDING	生物束縛	headline-auto
CRUEL UNMINDING	殘酷消念	headline-auto
CRUSADE	聖戰	headline-auto
CURSED LANDS	詛咒之地	headline-auto
CUSTOM	自訂	headline-auto
DARKNESS	黑暗術	headline-auto
DARK RITUALS	黑暗儀式	headline-auto
DEATH	死亡	headline-auto
DEATH IMMUNITY	死亡免疫	headline-auto
DEATH KNIGHTS	死亡騎士	headline-auto
DEATH SPELL	死亡咒語	headline-auto
DEATH WISH	求死術	headline-auto
DEMON LORD	惡魔領主	headline-auto
DESTRUCTION	毀滅	headline-auto
DETECT MAGIC	偵測魔法	headline-auto
DISENCHANT AREA	區域祛魔	headline-auto
DISENCHANT TRUE	真實祛魔	headline-auto
DISINTEGRATE	瓦解術	headline-auto
DISJUNCTION	解離術	headline-auto
DISJUNCTION TRUE	真實解離	headline-auto
DISMISS	解散	headline-auto
DISPEL EVIL	驅邪術	headline-auto
DISPEL MAGIC	解除魔法	headline-auto
DISPEL MAGIC TRUE	真實解除魔法	headline-auto
DISRUPT	破壞術	headline-auto
DIVINE POWER	神聖力量	headline-auto
DJINN	迪精	headline-auto
DOOM BAT	厄運蝙蝠	headline-auto
DOOM BOLT	厄運箭	headline-auto
DOOM MASTERY	厄運精通	headline-auto
DRAIN POWER	汲取法力	headline-auto
EARTH ELEMENTAL	土元素	headline-auto
EARTH GATE	大地之門	headline-auto
EARTH LORE	大地探知	headline-auto
EARTHQUAKE	地震	headline-auto
EARTH TO MUD	化土為泥	headline-auto
EASY	簡單	headline-auto
EFREET	火焰巨靈	headline-auto
ELDRITCH WEAPON	邪能武器	headline-auto
ELEMENTAL ARMOR	元素護甲	headline-auto
ENCHANT ITEM	附魔物品	headline-auto
ENCHANT ROAD	附魔道路	headline-auto
ENDURANCE	耐力	headline-auto
ENTANGLE	纏繞術	headline-auto
ETERNAL NIGHT	永夜	headline-auto
EVIL OMENS	邪惡預兆	headline-auto
EVIL PRESENCE	邪惡存在	headline-auto
FAMINE	饑荒術	headline-auto
FAMOUS	聲名顯赫	headline-auto
FANTASTIC STABLE	奇獸馬廄	headline-auto
FARMER'S MARKET	農夫市集	headline-auto
FIGHTER'S GUILD	戰士公會	headline-auto
FIREBALL	火球術	headline-auto
FIRE BOLT	火焰箭	headline-auto
FIRE ELEMENTAL	火元素	headline-auto
FIRE GIANT	火巨人	headline-auto
FIRE IMMUNITY	火焰免疫	headline-auto
FIRE STORM	火焰風暴	headline-auto
FIRST STRIKE	先攻	headline-auto
FLAME BLADE	烈焰刃	headline-auto
FLAME STRIKE	烈焰打擊	headline-auto
FLAMING	烈焰	headline-auto
FLIGHT	飛行	headline-auto
FLOATING ISLAND	浮空島	headline-auto
FLYING FORTRESS	飛行要塞	headline-auto
FOOD	食物	headline-auto
FORESTER	林地通	headline-auto
FORESTER'S GUILD	林務公會	headline-auto
FORTRESS	堡壘	headline-auto
GAIA'S BLESSING	蓋亞的祝福	headline-auto
GARGOYLES	石像鬼	headline-auto
GHOULS	食屍鬼	headline-auto
GIANT SPIDERS	巨蜘蛛	headline-auto
GIANT STRENGTH	巨人之力	headline-auto
GOLD	金幣	headline-auto
GORGONS	蛇髮女妖	headline-auto
GRANARY	穀倉	headline-auto
GREAT DRAKE	偉大巨龍	headline-auto
GREAT UNSUMMONING	大遣返	headline-auto
GREAT WASTING	大荒蕪	headline-auto
GREAT WYRM	巨蠕龍	headline-auto
GUARDIAN SPIRIT	守護靈	headline-auto
GUARDIAN WIND	守護之風	headline-auto
HARD	困難	headline-auto
HASTE	加速	headline-auto
HEALER	治療師	headline-auto
HEALING	治療術	headline-auto
HEALING SPELL	治療法術	headline-auto
HEAVENLY LIGHT	天堂之光	headline-auto
HELL HOUNDS	地獄犬	headline-auto
HERB MASTERY	草藥精通	headline-auto
HEROES	英雄	headline-auto
HEROISM	英雄氣概	headline-auto
HIGH PRAYER	高等祈禱	headline-auto
HITS	生命	headline-auto
HOLY ARMOR	神聖護甲	headline-auto
HOLY ARMS	神聖軍備	headline-auto
HOLY AVENGER	神聖復仇者	headline-auto
HOLY BONUS	神聖加成	headline-auto
HOLY WEAPON	神聖武器	headline-auto
HOLY WORD	神聖言語	headline-auto
HOUSING	住宅	headline-auto
HYDRA	九頭蛇	headline-auto
ICE BOLT	寒冰箭	headline-auto
ICE STORM	冰暴	headline-auto
ILLUSION	幻象	headline-auto
ILLUSIONS IMMUNITY	幻象免疫	headline-auto
IMMOLATION	焚身術	headline-auto
IMPOSSIBLE	不可能	headline-auto
INCARNATION	化身術	headline-auto
INFERNAL POWER	地獄力量	headline-auto
INSPIRATIONS	鼓舞術	headline-auto
INVISIBILITY	隱形	headline-auto
INVULNERABILITY	無敵術	headline-auto
IRON SKIN	鐵膚術	headline-auto
JUST CAUSE	正義之師	headline-auto
LARGE	大	headline-auto
LARGE SHIELD	巨盾	headline-auto
LIBRARY	圖書館	headline-auto
LIFE DRAIN	生命汲取	headline-auto
LIFE FORCE	生命力	headline-auto
LIGHTNING	閃電	headline-auto
LIGHTNING BOLT	閃電箭	headline-auto
LION HEART	獅心	headline-auto
LOAD	讀取進度	headline-auto
LONG RANGE	遠程攻擊	headline-auto
LUCKY	幸運	headline-auto
LYCANTHROPY	狼化術	headline-auto
MAGIC IMMUNITY	魔法免疫	headline-auto
MAGIC POWER	魔力	headline-auto
MAGIC SPIRIT	魔法精靈	headline-auto
MAGIC VORTEX	魔法漩渦	headline-auto
MAINTENANCE	維護	headline-auto
MANA FOCUSING	法力聚焦	headline-auto
MANA LEAK	法力洩漏	headline-auto
MARITIME GUILD	海事公會	headline-auto
MARKETPLACE	市集	headline-auto
MASS HEALING	群體治療	headline-auto
MASS INVISIBILITY	群體隱形	headline-auto
MECHANICIAN'S GUILD	機械師公會	headline-auto
MELD	融合	headline-auto
MELEE	近戰	headline-auto
MERCHANT'S GUILD	商人公會	headline-auto
MERGING	融合	headline-auto
METAL FIRES	金屬烈焰	headline-auto
METEOR STORM	流星風暴	headline-auto
MIND STORM	心靈風暴	headline-auto
MINER'S GUILD	礦工公會	headline-auto
MOUNTAINEER	山地行者	headline-auto
MOVE FORTRESS	遷移要塞	headline-auto
MOVES	移動	headline-auto
MYRRAN	米羅人	headline-auto
NAGAS	娜迦	headline-auto
NAME	名稱	headline-auto
NATURE MASTERY	自然精通	headline-auto
NATURE'S CURES	自然治癒	headline-auto
NATURE'S EYE	自然之眼	headline-auto
NATURE'S WRATH	自然之怒	headline-auto
NEGATE FIRST STRIKE	消除先攻	headline-auto
NEW GAME	新遊戲	headline-auto
NIGHTSHADE	夜影草	headline-auto
NIGHT STALKER	夜行獵者	headline-auto
NOBLE	高貴	headline-auto
NODE MASTERY	節點精通	headline-auto
NORMAL	普通	headline-auto
OK	確定	headline-auto
ORACLE	神諭所	headline-auto
PARTHENON	帕德嫩神廟	headline-auto
PATH FINDING	尋路	headline-auto
PATHFINDING	尋路	headline-auto
PESTILENCE	瘟疫術	headline-auto
PETRIFY	石化術	headline-auto
PHANTASMAL	幻影	headline-auto
PHANTOM BEAST	幻影野獸	headline-auto
PHANTOM WARRIORS	幻影戰士	headline-auto
PLANAR SEAL	位面封印	headline-auto
PLANAR TRAVEL	位面旅行	headline-auto
PLANE SHIFT	位面轉移	headline-auto
POISON IMMUNITY	毒素免疫	headline-auto
POSSESSION	附身術	headline-auto
POWER DRAIN	法力汲取	headline-auto
PRAYER	祈禱術	headline-auto
PRODUCING	生產中	headline-auto
PRODUCTION	生產	headline-auto
PROSPERITY	繁榮術	headline-auto
PSIONIC BLAST	心靈衝擊	headline-auto
PURIFY	淨化	headline-auto
QUIT TO DOS	離開遊戲	headline-auto
RAISE DEAD	復生術	headline-auto
RAISE VOLCANO	隆起火山	headline-auto
RANGE	遠程	headline-auto
RECALL HERO	召回英雄	headline-auto
REGENERATION	再生	headline-auto
RESISTANCE TO ALL	全面抗性	headline-auto
RESIST ELEMENTS	元素抗性	headline-auto
RESIST MAGIC	魔法抗性	headline-auto
RESURRECTION	復活術	headline-auto
RIGHTEOUSNESS	正義	headline-auto
RUNEMASTER	符文大師	headline-auto
SAGE MASTER	智慧大師	headline-auto
SAGE'S GUILD	賢者公會	headline-auto
SAWMILL	鋸木廠	headline-auto
SHADOW DEMONS	暗影惡魔	headline-auto
SHATTER	碎裂術	headline-auto
SHIP WRIGHTS GUILD	造船工公會	headline-auto
SHRINE	神龕	headline-auto
SKELETONS	骷髏	headline-auto
SKY DRAKE	天空巨龍	headline-auto
SMALL	小	headline-auto
SMITHY	鐵匠鋪	headline-auto
SORCERY MASTERY	魔法精通	headline-auto
SPELL BINDING	法術束縛	headline-auto
SPELL BLAST	法術爆破	headline-auto
SPELL CHARGES	法術充能	headline-auto
SPELL LOCK	法術鎖	headline-auto
SPELL OF MASTERY	精通咒語	headline-auto
SPELL OF RETURN	歸返咒語	headline-auto
SPELL RESEARCH	法術研究	headline-auto
SPELLS	法術	headline-auto
SPELL WARD	法術守護	headline-auto
SPRITES	妖精	headline-auto
STABLES	馬廄	headline-auto
STAR FIRES	星辰之火	headline-auto
STASIS	停滯術	headline-auto
STONE GIANT	石巨人	headline-auto
STONE SKIN	石膚術	headline-auto
STONING	石化	headline-auto
STONING IMMUNITY	石化免疫	headline-auto
STORM GIANT	風暴巨人	headline-auto
STREAM OF LIFE	生命之流	headline-auto
SUBVERSION	顛覆術	headline-auto
SUMMON CHAMPION	召喚勇士	headline-auto
SUMMON DEMONS	召喚惡魔	headline-auto
SUMMON HERO	召喚英雄	headline-auto
SUMMONING CIRCLE	召喚法陣	headline-auto
SUPPRESS MAGIC	壓制魔法	headline-auto
TELEPORTING	瞬移	headline-auto
TEMPLE	神殿	headline-auto
TERROR	恐怖術	headline-auto
TIME STOP	時間停止	headline-auto
TRADE GOODS	貿易品	headline-auto
TRANQUILITY	寧靜術	headline-auto
TRANSMUTE	嬗變術	headline-auto
TRUE LIGHT	真光術	headline-auto
TRUE SIGHT	真實視覺	headline-auto
UNDEAD	不死	headline-auto
UNICORNS	獨角獸	headline-auto
UNIVERSITY	大學	headline-auto
UPKEEP	維護費	headline-auto
VAMPIRIC	吸血	headline-auto
VERTIGO	暈眩術	headline-auto
WALL CRUSHER	破牆	headline-auto
WALL OF DARKNESS	黑暗之牆	headline-auto
WALL OF FIRE	火牆	headline-auto
WALL OF STONE	石牆	headline-auto
WAR BEARS	戰熊	headline-auto
WAR COLLEGE	戰爭學院	headline-auto
WARLORD	戰爭領主	headline-auto
WARP CREATURE	扭曲生物	headline-auto
WARP LIGHTNING	扭曲閃電	headline-auto
WARP NODE	扭曲節點	headline-auto
WARP REALITY	扭曲現實	headline-auto
WARP WOOD	扭木術	headline-auto
WATER WALKING	水上行走	headline-auto
WEAKNESS	虛弱術	headline-auto
WEAPON IMMUNITY	武器免疫	headline-auto
WEB SPELL	蛛網法術	headline-auto
WIND MASTERY	風之精通	headline-auto
WIND WALKING	御風行	headline-auto
WIZARD PACT	巫師協定	headline-auto
WIZARD'S GUILD	巫師公會	headline-auto
WORD OF DEATH	死亡言語	headline-auto
WORD OF RECALL	召回咒語	headline-auto
WRACK	摧殘術	headline-auto
WRAITH FORM	幽魂形態	headline-auto
WRAITHFORM	幽靈形態	headline-auto
WRAITHS	幽魂	headline-auto
ZOMBIE MASTERY	殭屍精通	headline-auto
EXIT SPELL BOOK	離開法術書	headline
WEB	蜘蛛網	headline
NATURE'S AWARENESS	自然感知	headline
ARCHANGEL	大天使	headline
PAGE BACK	上一頁	headline
PAGE FORWARD	下一頁	headline
GAME	遊戲選項	headline
ARMIES	軍隊列表	headline
CITIES	城市列表	headline
MAGIC	魔法總覽	headline
INFORMATION	情報顧問	headline
PLANE	切換位面	headline
DONE	結束回合	headline
PATROL	巡邏	headline
WAIT	等待	headline
BUILD	建造	headline
NEXT TURN	下一回合	headline
REDUCED MAP	縮略地圖	headline
TOTAL GOLD	黃金總量	headline
TOTAL MANA	法力總量	headline
GOLD INCOME	黃金收入	headline
FOOD RESERVE	糧食儲備	headline
MANA INCOME	法力收入	headline
UNIT NAME	單位名稱	headline
UNIT ENCHANTMENTS	單位結界	headline
ITEMS	魔法物品	headline
EMPTY HERO SLOT	英雄槽位(空)	headline
UP ARROW	向上捲動	headline
DOWN ARROW	向下捲動	headline
ANVIL	砧台(分解物品)	headline
CITY NAME	城市名稱	headline
CITY ENCHANTMENTS	城市結界	headline
GRAY GEM	灰色寶石	headline
SHATTERED GEM	破碎寶石	headline
POWER DISTRIBUTION	魔力分配	headline
CASTING SKILL RATIO	施法技能比例	headline
MANA POINTS RATIO	法力儲量比例	headline
RESEARCH RATIO	研究比例	headline
ENCHANTMENTS	結界列表	headline
RELATIONS	外交關係	headline
WIZARD STATISTICS delete	巫師統計	headline
SPELL CASTING SKILL	施法技能	headline
MAGIC RESERVE	法力儲備	headline
POWER BASE	基礎魔力	headline
RESEARCHING	研究中法術	headline
SUMMON TO	召喚圓陣所在城市	headline
BARBARIAN TOWNSFOLK	野蠻人市民	headline
BEASTMEN TOWNSFOLK	獸人市民	headline
DARK ELF TOWNSFOLK	黑暗精靈市民	headline
DRACONIAN TOWNSFOLK	龍人市民	headline
DWARF TOWNSFOLK	矮人市民	headline
GNOLL TOWNSFOLK	土狼人市民	headline
HALFLING TOWNSFOLK	半身人市民	headline
HIGH ELF TOWNSFOLK	高等精靈市民	headline
HIGH MEN TOWNSFOLK	高等人類市民	headline
KLACKON TOWNSFOLK	克拉克昆市民	headline
LIZARDMEN TOWNSFOLK	蜥蜴人市民	headline
NOMAD TOWNSFOLK	遊牧人市民	headline
TROLL TOWNSFOLK	巨魔市民	headline
CITY RESOURCES delete	城市資源	headline
GOLD MAINTENANCE	黃金維護費	headline
MAGICAL POWER	魔法魔力	headline
CITY VIEW	城市周邊視圖	headline
CITY SCAPE	城市建築圖	headline
CHANGE	變更生產	headline
Barbarian Farmers	野蠻人農民	headline
Barbarian Workers	野蠻人工人	headline
Barbarian Rebels	野蠻人叛民	headline
Beastmen Farmers	獸人農民	headline
Beastmen Workers	獸人工人	headline
Beastmen Rebels	獸人叛民	headline
Dark Elf Farmers	黑暗精靈農民	headline
Dark Elf Workers	黑暗精靈工人	headline
Dark Elf Rebels	黑暗精靈叛民	headline
Draconian Farmers	龍人農民	headline
Draconian Workers	龍人工人	headline
Draconian Rebels	龍人叛民	headline
Dwarf Farmers	矮人農民	headline
Dwarf Workers	矮人工人	headline
Dwarf Rebels	矮人叛民	headline
Gnoll Farmers	土狼人農民	headline
Gnoll Workers	土狼人工人	headline
Gnoll Rebels	土狼人叛民	headline
Halfling Farmers	半身人農民	headline
Halfling Workers	半身人工人	headline
Halfling Rebels	半身人叛民	headline
High Elf Farmers	高等精靈農民	headline
High Elf Workers	高等精靈工人	headline
High Elf Rebels	高等精靈叛民	headline
High Men Farmers	高等人類農民	headline
High Men Workers	高等人類工人	headline
High Men Rebels	高等人類叛民	headline
Klackon Farmers	克拉克昆農民	headline
Klackon Workers	克拉克昆工人	headline
Klackon Rebels	克拉克昆叛民	headline
Lizardmen Farmers	蜥蜴人農民	headline
Lizardmen Workers	蜥蜴人工人	headline
Lizardmen Rebels	蜥蜴人叛民	headline
Nomad Farmers	遊牧人農民	headline
Nomad Workers	遊牧人工人	headline
Nomad Rebels	遊牧人叛民	headline
Orc Farmers	獸人農民	headline
Orc Workers	獸人工人	headline
Orc Rebels	獸人叛民	headline
Troll Farmers	巨魔農民	headline
Troll Workers	巨魔工人	headline
Troll Rebels	巨魔叛民	headline
PORTRAIT	巫師肖像	headline
STATISTICS	外交統計	headline
MANA	法力儲量	headline
SPELL RANKS	法術等階	headline
SPECIAL ABILITIES	特殊能力	headline
MAP	大地圖	headline
CHANGE PLANES	切換位面(地圖)	headline
MAP KEY	地圖圖例	headline
POWER GRAPH	魔力走勢圖	headline
STATUS	狀態比較	headline
ALCHEMY GOLD	鍊金黃金量	headline
ALCHEMY RATIO	鍊金比例	headline
ALCHEMY POWER	鍊金法力量	headline
CANCEL	取消	headline
ALCHEMY TOGGLE	鍊金方向切換	headline
BUILDING OPTIONS	建築選項	headline
UNIT OPTIONS	單位選項	headline
BUILDING DESCRIPTION	建築說明	headline
COST	生產費用	headline
UNIT MOVES	移動力	headline
RESISTANCE	抗性	headline
CREATE OUTPOST	建立前哨站	headline
CREATE UNDEAD	製造不死生物	headline
LAND CORRUPTION	土地腐化	headline
MELD WITH NODE	融合節點	headline
NON CORPOREAL	非實體	headline
MISSILES IMMUNITY	飛彈免疫	headline
FIRE BALL SPELL	火球法術	headline
DOOMBOLT SPELL	末日閃電法術	headline
POISON	毒素	headline
LIFE STEAL	生命汲取	headline
STONING TOUCH	石化之觸	headline
CAUSE DEATH	致命詛咒	headline
CHAOS CHANNEL	混沌導引	headline
THROWN	投擲武器	headline
FIRE BREATH	火焰吐息	headline
LIGHTNING BREATH	雷電吐息	headline
STONING GAZE	石化凝視	headline
DOOM GAZE	末日凝視	headline
DEATH GAZE	死亡凝視	headline
REGENERATE	再生	headline
PAGE UP	向上翻頁	headline
PAGE DOWN	向下翻頁	headline
CITY GARRISONS	城市駐軍	headline
UNIT LIST	單位列表	headline
OUTPOST SIZE	前哨站規模	headline
OUTPOST SCAPE	前哨站景觀	headline
ROAD BUILDING	道路建設	headline
SURVEY	地形勘察	headline
LEADERSHIP	統御	headline
LEGENDARY	傳奇聲望	headline
BLADEMASTER	劍術大師	headline
ARMSMASTER	武術大師	headline
CONSTITUTION	強健體魄	headline
MIGHT	神力	headline
ARCANE POWER	秘術之力	headline
SAGE	智者	headline
PRAYERMASTER	禱告大師	headline
RECRUIT	新兵	headline
REGULAR	正規軍	headline
VETERAN	老兵	headline
ELITE	精銳	headline
ULTRA ELITE	超精銳	headline
CHAMPION	勇士	headline
HERO	英雄	headline
MYRMIDON	近衛鬥士	headline
CAPTAIN	隊長	headline
COMMANDER	指揮官	headline
LORD	領主	headline
GRAND LORD	大領主	headline
SUPER HERO	超級英雄	headline
DEMI-GOD	半神	headline
QUIVER	箭矢剩餘	headline
+ TO HIT	命中加成	headline
- TO HIT	命中減成	headline
CONSTRUCTION	建造	headline
SCOUTING	偵察	headline
CASTER	施法者	headline
SWORD SLOT	劍類欄位	headline
BOW SLOT	弓類欄位	headline
STAVE/SWORD SLOT	法杖/劍類欄位	headline
STAVE SLOT	法杖欄位	headline
ARMOR SLOT	護甲欄位	headline
MISCELLANEOUS SLOT	雜項欄位	headline
SPELL BUTTON	法術按鈕	headline
WAIT BUTTON	等待按鈕	headline
INFO BUTTON	資訊按鈕	headline
AUTO BUTTON	自動按鈕	headline
FLEE BUTTON	撤退按鈕	headline
DONE BUTTON	結束回合按鈕	headline
SKILL	法術技能	headline
ATTACKER	攻擊方	headline
DEFENDER	防禦方	headline
DISPELS NON-SORCERY	驅散非魔法系魔法	headline
DISPELS NON-CHAOS	驅散非混沌系魔法	headline
DISPELS NON-NATURE	驅散非自然系魔法	headline
SORCERY NODE AURA	魔法節點光環	headline
CHAOS NODE AURA	混沌節點光環	headline
NATURE NODE AURA	自然節點光環	headline
CLOUD OF DARKNESS	黑暗迷霧	headline
DAMAGE	已受傷害	headline
LOAD BUTTON	讀取按鈕	headline
QUIT BUTTON	離開按鈕	headline
SETTINGS BUTTON	設定按鈕	headline
SAVE BUTTON	儲存按鈕	headline
OK BUTTON	確認按鈕	headline
SAVED GAMES	已存檔案	headline
CANCEL BUTTON	取消按鈕	headline
DIFFICULTY LEVEL	難度等級	headline
EXPERT	專家	headline
OPPONENTS	對手數量	headline
LAND SIZE	陸地大小	headline
TINY	微型	headline
FAIR	中型	headline
MAGIC INTENSITY	魔力強度	headline
SELECT A BANNER	選擇旗幟	headline
MERLIN	梅林	headline
RAVEN	雷文	headline
SHAREE	莎麗	headline
LO PAN	羅潘	headline
JAFAR	賈法爾	headline
OBERIC	奧柏力克	headline
TAURON	陶隆	headline
SSS'RA	薩拉	headline
RJAK	雷積	headline
FREYA	弗蕾雅	headline
HORUS	霍魯斯	headline
ARIEL	艾莉兒	headline
TLALOC	特拉洛克	headline
KALI	卡莉	headline
SELECT WIZARD PICTURE	選擇巫師圖像	headline
SOUND EFFECTS	音效	headline
BACKGROUND MUSIC	背景音樂	headline
EVENT MUSIC	事件音樂	headline
CITY SPELL EVENTS	城市法術事件	headline
OVERLAND SPELL EVENTS	陸上法術事件	headline
SUMMONING EVENTS	召喚事件	headline
END OF TURN SUMMARY	回合結束摘要	headline
AUTOMATIC ADVICE	自動建議	headline
RANDOM EVENTS	隨機事件	headline
END OF TURN WAIT	回合結束等待	headline
STRATEGIC COMBAT ONLY	僅戰略戰鬥	headline
AUTO UNIT INFORMATION	自動單位資訊	headline
ENEMY MOVES	敵方移動	headline
ENEMY SPELLS	敵方法術	headline
SPELL BOOK ORDERING	法術書排序	headline
SPELL ANIMATIONS	法術動畫	headline
SHOW NODE OWNERS	顯示節點擁有者	headline
EXPANDING HELP	展開說明	headline
MAGIC PICKS	魔法選擇	headline
GUISE	偽裝術	headline
SHIPYARD	造船廠	headline
TREATIES	條約	headline
EXTRA MANA COST	額外法力消耗	headline
NONE	無	headline
TAX PER POPULATION	人口稅率	headline
ADVISORS	顧問	headline
FAME	聲望	headline
PLAGUE	瘟疫	headline
POPULATION BOOM	人口爆發	headline
BLUE CONJUNCTION	藍星合相	headline
RED CONJUNCTION	紅星合相	headline
GREEN CONJUNCTION	綠星合相	headline
BAD MOON	凶月	headline
GOOD MOON	吉月	headline
POWER SHORT	魔力中斷	headline
POPULATION	人口	headline
DEATH SPELLS	死亡法術	headline
CHAOS SPELLS	混沌法術	headline
LIFE SPELLS	生命法術	headline
NATURE SPELLS	自然法術	headline
SORCERY SPELLS	奧術法術	headline
MANIACAL	狂暴型	headline
RUTHLESS	冷酷型	headline
AGGRESSIVE	侵略型	headline
CHAOTIC	混沌型	headline
LAWFUL	秩序型	headline
PEACEFUL	和平型	headline
PRAGMATIST	務實型	headline
MILITARIST	軍事型	headline
THEURGIST	神術型	headline
PERFECTIONIST	完美型	headline
EXPANSIONIST	擴張型	headline
NO REPORT	無情報	headline
MOVEMENT ANIMATIONS	移動動畫	headline
HALL OF FAME	名人堂	headline
TOWNSFOLK	市民	headline
BANISHED WIZARDS	放逐巫師	headline
YEAR	年份	headline
FINAL SCORE	最終分數	headline
RAZE CITY	夷平城市	headline
DIVINE ORDER	神聖命令	headline
AETHER BINDING	以太束縛	headline
SURVIVAL INSTINCT	求生本能	headline
SCROLL UP	向上捲動	headline
SCROLL DOWN	向下捲動	headline
SWITCH TO SPELLS	切換至法術	headline
SWITCH TO AURAS	切換至光環	headline
NATURE WARD	自然結界	headline
SORCERY WARD	奧術結界	headline
CHAOS WARD	混沌結界	headline
LIFE WARD	生命結界	headline
DEATH WARD	死亡結界	headline
HUGE	巨大	headline
WORLD BUTTON	世界按鈕	headline
PATCH BUTTON	修正按鈕	headline
LAST PROFILE BUTTON	上次設定按鈕	headline
RESET BUTTON	重置按鈕	headline
SCROLL UP BUTTON	向上捲動按鈕	headline
SCROLL DOWN BUTTON	向下捲動按鈕	headline
LAND TILES	陸地格數	headline
MAX CONTINENT SIZE	最大大陸尺寸	headline
SINGLE CONTINENT	單一大陸	headline
INLAND LAKES	內陸湖泊	headline
TERRAIN HEIGHT	地形高度	headline
DYNAMIC ELEVATIONS	動態高程	headline
POLAR CAPS	極地冰帽	headline
TUNDRA REACH	凍原範圍	headline
MAX DESERT REGIONS	最大沙漠區域	headline
MAX SWAMP PATCHES	最大沼澤區塊	headline
MAX RIVERS	最大河流數	headline
ALL-TERRAIN RIVERS	全地形河流	headline
NON-GRASS ISLES	非草地島嶼	headline
CAPITAL POP PRIORITY	首都人口優先級	headline
CAPITAL ROADS	首都道路	headline
MAX ROAD LENGTH	最大道路長度	headline
MINERAL DENSITY	礦產密度	headline
MINERAL QUALITY	礦產品質	headline
HIGH VALUE NODES	高價值節點	headline
TOWER BUDGET  X	巫師塔預算 X	headline
STRONG LAIR BUDGET  X	強力巢穴預算 X	headline
WEAK LAIR BUDGET  X	弱小巢穴預算 X	headline
MONSTER LAIR REALMS	怪物巢穴領域	headline
ENCOUNTER DIVERSITY	遭遇多樣性	headline
MAX NEUTRAL CITIES	最大中立城市數	headline
NEUTRAL POPULATION	中立城市人口	headline
ADVANCED NEUTRALS	進階中立設施	headline
CUSTOM WORLDS	自訂世界	headline
DIFFERENT PLANES	分位面設定	headline
LAST PROFILE RELOAD	重載上次巫師檔案	headline
LOAD LAST BANNER	載入上次旗幟	headline
NO AI RACE RESTRICTION	取消 AI 種族限制	headline
V1.51 TREASURE	v1.51 版寶藏規則	headline
EXTRA NODE POWER	節點額外魔力	headline
NO DOUBLE TOWERS	禁止重複巫師塔	headline
COMMON ELVES	普通精靈分布	headline
MORE PRECISE NEUTRALS	更精確的中立城市	headline
OLD TOWER GENERATOR	舊版巫師塔生成	headline
OLD NODE GENERATOR	舊版節點生成	headline
LIFE AND DEATH	生死共存	headline
