source	zh	note
University	大學	建築名
A university serves as a stronghold for education and scholarship.  It adds +5 spell research points.	大學是教育與學術的重鎮。法術研究點數+5。	建築描述
Wizards Guild	巫師公會	建築名
A wizard's guild acts as a center for the advancement of magic.  It adds +8 spell research points at an upkeep cost of 3 power per turn.	巫師公會作為魔法精進的中心。法術研究點數+8，每回合維護費3魔力。	建築描述
Shrine	神龕	建築名
A shrine provides spiritual comfort to the citizenry.  It adds +1 power, allows use of nightshade, and reduces the unrest level by 1.	神龕為市民提供心靈慰藉。魔力+1、允許使用夜影草，動亂-1。	建築描述
Temple	神殿	建築名
A temple serves as a center for basic religious instruction.  It adds +2 power, allows use of nightshade, and reduces the unrest level by 1.	神殿作為基礎宗教教育的中心。魔力+2、允許使用夜影草，動亂-1。	建築描述
Parthenon	帕德嫩神廟	建築名
A parthenon provides the city with a central focus for the study and teaching of religion. It adds +3 power and reduces the unrest by 1.	帕德嫩神廟為城市提供宗教研究與傳教的核心場所。魔力+3，動亂-1。	建築描述
Cathedral	大教堂	建築名
A cathedral provides the city with a major cultural and religious center.  It adds +4 power and reduces the unrest level by 1.	大教堂為城市提供重要的文化與宗教中心。魔力+4，動亂-1。	建築描述
Marketplace	市集	建築名
A marketplace promotes the city's economic growth by increasing the taxable revenues and mineral income of the city by +50%.	市集促進城市經濟成長，使城市的應稅收入與礦物收入提升+50%。	建築描述
Bank	銀行	建築名
A bank increases the taxable revenues and mineral income of a city by 50%, in addition to any gains from a marketplace.	銀行在市集收益基礎上，再將城市的應稅收入與礦物收入提升50%。	建築描述
Merchants Guild	商人公會	建築名
A merchant's guild increases the taxable revenues and mineral income of a city by +100%, in addition to the marketplace and bank.	商人公會在市集與銀行收益基礎上，再將城市的應稅收入與礦物收入提升+100%。	建築描述
Granary	穀倉	建築名
A granary serves as a storehouse for the city's food surplus.  It adds +2 maximum population, along with +2 food and +20 people per turn.	穀倉作為城市糧食盈餘的儲藏所。最大人口+2，每回合食物+2、人口+20。	建築描述
Farmers Market	農夫市集	建築名
A farmer's market is a focal point for the buying and selling of food surplus. It adds +3 food and maximum population and +30 people per turn.	農夫市集是糧食盈餘買賣的集中場所。食物+3、最大人口+3，每回合人口+30。	建築描述
Foresters Guild	林務公會	建築名
A forester's guild trains hunters and lumberjacks, increasing the food harvest by +2 and production by +25%.	林務公會訓練獵人與伐木工，食物產量+2，生產+25%。	建築描述
Builders Hall	建造者大廳	建築名
The builder's hall educates workers in skilled building techniques, improving the efficiency of Housing projects by 15%.	建造者大廳教導工人精熟建造技術，提升住宅建造效率15%。	建築描述
Mechanicians Guild	機械師公會	建築名
A mechanician's guild teaches advanced engineering techniques, increasing the production points of a city by +50%.	機械師公會傳授高階工程技術，城市生產點數+50%。	建築描述
Miners Guild	礦工公會	建築名
A miner's guild increases any special mineral bonuses by +50% and production by +50%.	礦工公會使所有特殊礦物加成提升+50%，生產+50%。	建築描述
City Walls	城牆	建築名
Surrounds the city with a high brick wall that extends the detection of enemy units out to 3 squares and lends protection in combat.	以高磚牆環繞城市，將敵方單位的偵測範圍延伸至3格，並在戰鬥中提供防護。	建築描述
Fortress	堡壘	建築名
Summoning Circle	召喚法陣	建築名
Housing	住宅	建築名
This special setting builds new housing for the local populace to draw them into the city and increase the city's population growth rate.	此特殊設定為當地居民建造新住宅，以吸引人口遷入城市並提升城市人口成長率。	建築描述
Trade Goods	貿易品	建築名
This special setting produces trade goods and converts 2 production to 1 gold.	此特殊設定生產貿易品，將2生產轉換為1金幣。	建築描述
