source	zh	note
Elemental Staff of Nature		TODO
Planar Staff		TODO
Golden Staff of Sharee		TODO
Purple Rain of Death		TODO
The Conjurers Friend		TODO
Wand of the Mind		TODO
Wand of the Mage		TODO
Wand of the Beast		TODO
Pin of Health		TODO
Jafars Orb of Sight		TODO
Gauntlet of Eastwood		TODO
Bracer of Invulnerability		TODO
Helm of Everlasting		TODO
Helm of the Tides		TODO
Shield of Speed		TODO
Vans Shield		TODO
Shield of Brooke		TODO
The Wind Shield		TODO
Holy Shield		TODO
Mail of Arcanus		TODO
Chain of Tyrolia		TODO
Giddeons Plate		TODO
Plate of the Elements		TODO
Plate of Immunity		TODO
Golden Axe of Rath		TODO
Suit of Power		TODO
The Great Wand		TODO
Elvish Scalemail		TODO
Uhl Khakhaas		TODO
Uhl Dover		TODO
Idspispopd		TODO
Ehr Rhee		TODO
Mae Govannon		TODO
Zir Daun		TODO
Lor Goth		TODO
Mail of Pobox		TODO
Protection of Ramses		TODO
Bird of Paradise		TODO
Kraken Wand		TODO
Theodores Liberator		TODO
Crossbow of Power		TODO
Laik Kenegul		TODO
Peppermace of Gates		TODO
Axe of Vivisection		TODO
The Inquisition		TODO
White Flicker		TODO
Staff of the Constellation		TODO
The Resistor		TODO
Plate of Eandor		TODO
Blood Plate of Lucifer		TODO
Disc of Advancement		TODO
Wand of the Grey Wizard		TODO
Little Flicker		TODO
Freyas Friend		TODO
Vampiric Vanquisher		TODO
Sword of Medusa		TODO
Zlotakian Staff of Magic		TODO
Orions Belt		TODO
Bracer of Mrad		TODO
Wraithe Shirt		TODO
Ziggmunds Armor		TODO
Ring of the Mad Mage		TODO
Gabriels Axe		TODO
Maul of Bathory		TODO
Sword of Pendulum		TODO
Shield of Ultimate Defense		TODO
Tammas Staff of Negation		TODO
Mace of Disintegration		TODO
Sword of Renfield		TODO
Staff of Odin		TODO
Gem of the Aerie		TODO
The Scarlet Bow		TODO
Raindancer		TODO
Light Mail Shirt		TODO
