source	zh	note
Wind Mage	風系法師	英雄稱號 (Jaer)
War Monk	戰鬥僧侶	英雄稱號 (Taki)
Warlock	術士	英雄稱號 (Yramrag)
Bard	吟遊詩人	英雄稱號 (Valana)
Priestess	女祭司	英雄稱號 (Elana)
Illusionist	幻術師	英雄稱號 (Aerie)
Ranger	遊俠	英雄稱號 (Marcus)
Warrior Mage	武鬥法師	英雄稱號 (Reywind)
Elven Archer	精靈弓手	英雄稱號 (Alorra)
Ninja	忍者	英雄稱號 (ShinBo)
Healer	治療師	英雄稱號 (Serena)
Huntress	女獵人	英雄稱號 (Shuri)
Thief	盜賊	英雄稱號 (Theria)
Assassin	刺客	英雄稱號 (Tumu)
Golden One	黃金勇者	英雄稱號 (Aureus)
The Chosen	天選之人	英雄稱謂 (Torin)
The Draconian	龍族勇士	英雄稱謂 (Fang)
The Dervish	旋風俠	英雄稱謂 (BShan)
The Witch	女巫	英雄稱謂 (Morgana)
The Chaos Warrior	混沌戰士	英雄稱謂 (Warrax)
The Unknown	未知者	英雄稱謂 (MysticX)
The Orc Warrior	獸人戰士	英雄稱謂 (Bahgtru)
The Swordsman	劍士	英雄稱謂 (DethStryke)
The Rogue	盜賊	英雄稱謂 (Spyder)
The Knight	騎士	英雄稱謂 (SirHarold)
The Dwarf	矮人	英雄稱謂 (Brax)
The Necromancer	死靈法師	英雄稱謂 (Ravashack)
The Druid	德魯伊	英雄稱謂 (Greyfairer)
The Amazon	亞馬遜女勇士	英雄稱謂 (Shalla)
The Paladin	聖騎士	英雄稱謂 (Roland)
The Magician	魔術師	英雄稱謂 (Malleus)
The Black Knight	黑騎士	英雄稱謂 (Mortu)
The Barbarian	蠻族勇士	英雄稱謂 (Gunther)
The Beastmaster	獸王	英雄稱謂 (Rakir)
The Wind Mage	風系法師	英雄稱謂 (Jaer)
The War Monk	戰鬥僧侶	英雄稱謂 (Taki)
The Warlock	術士	英雄稱謂 (Yramrag)
The Bard	吟遊詩人	英雄稱謂 (Valana)
The Priestess	女祭司	英雄稱謂 (Elana)
The Illusionist	幻術師	英雄稱謂 (Aerie)
The Ranger	遊俠	英雄稱謂 (Marcus)
The Warrior Mage	武鬥法師	英雄稱謂 (Reywind)
The Elven Archer	精靈弓手	英雄稱謂 (Alorra)
The Sage	智者	英雄稱謂 (Zaldron)
The Ninja	忍者	英雄稱謂 (ShinBo)
The Healer	治療師	英雄稱謂 (Serena)
The Huntress	女獵人	英雄稱謂 (Shuri)
The Thief	盜賊	英雄稱謂 (Theria)
The Assassin	刺客	英雄稱謂 (Tumu)
The Golden One	黃金勇者	英雄稱謂 (Aureus)
# 施法書章節標題 (Section.Name, 走 titleFont.PrintOptions → translateForDisplay)
Summoning	召喚
Special Spells	特殊法術
Enchantment	附魔
City Spells	城市法術
Unit Spells	單位法術
Combat Spells	戰鬥法術
# 施法書「按顏色排序」時的系別頁標題 (MagicType.String);Chaos→混沌、Death→死亡 已在 item-powers.tsv
Nature	自然
Sorcery	巫術
Life	生命
Arcane	奧術
# #7 法術書排序切換 (settings.go,對應原版 Spell Book Ordering)
Spell Book Ordering: By Category	法術書排序:按分類
Spell Book Ordering: By Color	法術書排序:按顏色
# 設定畫面切換項 (settings.go,對應原版 Settings 畫面)
%v: On	%v:開
%v: Off	%v:關
Strategic Combat Only	全自動戰鬥
Sound Effects	音效
Background Music	背景音樂
Random Events	隨機事件
Spell Animations	法術動畫
Show Node Owners	顯示節點擁有者
Summoning Events	召喚事件
City Spell Events	城市結界事件
Overland Spell Events	戰略結界事件
Enemy Spells	對手法術
# 施法書取消/確認對話 (格式字串 template,走 TranslateFormat → fmt.Sprintf)
Do you wish to abort your %v spell?	您確定要中止施放 %v 嗎?
# 施法書 overland tooltip
%v turns	%v 回合
# 戰鬥選目標提示 (combat-screen.go 兩處 fmt.Sprintf)
Select a target for a %v spell.	請選擇 %v 的目標。
# 讀取/存檔畫面 (gamemenu/menu.go — load.lbx 烘字按鈕疊中文)
Save	儲存	按鈕 (load.lbx index 3)
Quit	離開	按鈕 (load.lbx index 2)
Settings	設定	按鈕 (load.lbx index 12)
Empty	空	存槽為空時顯示
Load Game	讀取進度	主選單選項
Save Game	儲存進度	畫面副標題
# 城市結界/新建築彈出畫面 (enchantment.go MakeNewBuildingView / MakeEarthquakeView)
# 城市規模名 (city.GetSize().String()，走 font.TranslateFormat → 逐詞翻)
Hamlet	村落	城市規模
Village	村莊	城市規模
Town	城鎮	城市規模
City	城市	城市規模 (task: City=城市)
Capital	首都	城市規模
# 城市標題格式樣板 ("%v of %s" → "%v 的 %s",TranslateFormat 呼叫)
%v of %s	%v 的 %s	城市標題格式:「村莊 的 Riverton」
# 結界/新建築施放說明 (enchantment.go line 64,TranslateFormat 呼叫)
You cast %v	您施放了 %v	城市結界彈出說明
# Earthquake! 地震! 已存於第 25 行 (事件通用),此處不重複
# 精通勝利畫面 (mastery.go ShowSpellOfMasteryScreen,TranslateFormat 呼叫)
%v has started casting the Spell of Mastery	%v 正在施放精通魔法	mastery.go line 56
# 精通勝利結局台詞 (mastery.go SpellOfMasteryEndScreen text slice,translateForDisplay 自動命中)
Having conquered both the	佔領了兩個位面—	mastery.go win screen line 1
world of Arcanus and Myrror	阿坎努斯與米羅	mastery.go win screen line 2
I and only I remain the one	唯我獨尊,	mastery.go win screen line 3
and true Master of Magic.	成為真正的魔法大帝。	mastery.go win screen line 4
# 放逐巫師畫面 (banish.go ShowBanishAnimation,TranslateFormat 呼叫)
%v banishes %v	%v 放逐了 %v	banish.go line 205
# 雇用傭兵畫面 (game/magic/game/mercenaries.go MakeHireMercenariesScreenUI)
# 按鈕 "Hire" / "Reject" 已在第 38 / 78 行用 ChtLabel 疊字 (NormalYellow);
# 橫幅標題直接在 code 用 fmt.Sprintf 組中文,不走 tsv (含 %v 佔位)
# 傭兵橫幅 count==1: "雇用傭兵: %v 金幣"  (mercenaries.go line 180)
# 傭兵橫幅 count>1 : "%v 名傭兵待雇: %v 金幣" (mercenaries.go line 182)
Select An Advisor	選擇顧問	資訊選單標題
Apprentice	見習巫師	顧問
Historian	史官	顧問
Astrologer	占星師	顧問
Chancellor	大臣	顧問
Tax Collector	稅務官	顧問
Grand Vizier	大維齊爾	顧問
Mirror	魔鏡	顧問 (巫師狀態鏡)
The Armies Of %v	%v 的軍隊	軍隊清單標題
Do you wish to disband the unit of %v?	您確定要解散這支 %v 部隊嗎?	解散確認
Do you wish to dismiss %v?	您確定要遣散 %v 嗎?	遣散英雄確認
Additional Unit Information	額外單位資訊
Auto End Turn	自動結束回合
End of Turn Summary	回合總結
Enemy Moves	顯示敵軍移動
Automatic Advice	自動建議
ADVICE	顧問建議
DOS Aspect Ratio	DOS 原版長寬比
CRT Shader	CRT 質感
Hide Unresearched Spells	隱藏未研發法術	settings
(spell not yet researched)	未研發,無法顯示	spellbook
turn	回合	unit
turns	回合	unit
and	與	ui
, 	、	ui
Recruit	新兵	experience
Regular	正規兵	experience
Veteran	老兵	experience
Elite	精銳	experience
Ultra Elite	超級精銳	experience
Champion	勇士	experience
Create Outpost	建立前哨站	ability
Tax Per Population	每人口稅率	tax
0 gold, 0% unrest	0 金幣,0% 動亂	tax
0.5 gold, 10% unrest	0.5 金幣,10% 動亂	tax
1 gold, 20% unrest	1 金幣,20% 動亂	tax
1.5 gold, 30% unrest	1.5 金幣,30% 動亂	tax
2 gold, 45% unrest	2 金幣,45% 動亂	tax
2.5 gold, 60% unrest	2.5 金幣,60% 動亂	tax
3 gold, 75% unrest	3 金幣,75% 動亂	tax
