source	zh	note
Effects: Instant Combat\nTarget: one unit\nCasting Cost: 10+ mana\nUpkeep: none\nTargets a unit with an intensely damaging stream of mental energy. This strength 5 non-physical attack can be increased in strength by one per every two extra mana points spent on the spell.	效果：即時戰鬥\n目標：單一單位\n施法花費：10+ 法力\n維護：無\n以一道極具破壞力的精神能量流瞄準一個單位。此強度 5 的非物理攻擊，每多花費兩點法力便可使強度增加一點。	help
Effects: Combat Enchantment\nTarget: n/a\nCasting Cost: 20 mana \nUpkeep: none\nBlurs the outline of all friendly units making them more difficult to hit. There is a 10% chance that each point of damage done to the target unit will miss.	效果：戰鬥附魔\n目標：不適用\n施法花費：20 法力\n維護：無\n模糊所有友方單位的輪廓，使其更難被命中。對目標單位造成的每一點傷害，都有 10% 的機率落空。	help
Effects: Instant\nTarget: map square\nCasting Cost: 50+ mana\nUpkeep: none\nA much stronger version of Disenchant Area, with triple the chance of removing target enchantments (each point of mana spent casting the spell counts as three for the purposes of dispelling a target enchantment).	效果：即時\n目標：地圖格\n施法花費：50+ 法力\n維護：無\n區域祛魔的強化版本，移除目標附魔的機率為三倍（施放此法術所花費的每一點法力，在解除目標附魔時都視為三點）。	help
Effects: Unit Enchantment\nTarget: enemy unit\nCasting Cost: 25 mana\nUpkeep: none\nIf a targeted unit fails to resist, it suffers a penalty to hit of 2 (i.e., it has a -20% chance to hit) and has more trouble defending than usual (lose 1 shield).	效果：單位附魔\n目標：敵方單位\n施法花費：25 法力\n維護：無\n若目標單位未能抵抗，便會受到 2 點命中懲罰（即命中機率 -20%），並比平時更難防禦（損失 1 點護盾）。	help
Effects: Unit Enchantment\nTarget: friendly unit\nCasting Cost: 20/100 mana\nUpkeep: 1 mana/turn\n Prevents a target unit's positive enchantments from being dispelled. If the target unit is a summoned creature, spell lock also protects the bonds that tie it to the controlling wizard. Spell lock must be dispelled (resistance of 150) before any further enchantments can be removed from the creature or unit.	效果：單位附魔\n目標：友方單位\n施法花費：20/100 法力\n維護：1 法力/回合\n 防止目標單位的正面附魔被解除。若目標單位是召喚生物，法術鎖也會保護將其與控制巫師相繫的束縛。必須先解除法術鎖（抗性 150），才能從該生物或單位身上移除任何進一步的附魔。	help
Effects: Instant\nTarget: 5 x 5 map area (one full screen)\nCasting Cost: 100 mana\nUpkeep: none\nMakes all roads within two map squares of the targeted area cost no movement points to travel over for non-flying units. Note that all roads on Myrror are automatically enchanted.	效果：即時\n目標：5 x 5 地圖範圍（一整個畫面）\n施法花費：100 法力\n維護：無\n使目標區域兩格地圖範圍內的所有道路，讓非飛行單位通行時不消耗移動力。請注意，米若（Myrror）上的所有道路皆已自動附魔。	help
Effects: Global Enchantment\nTarget: n/a\nCasting Cost: 400 mana\nUpkeep: 5 mana/turn\nDoubles the speed of all ships and sky masters controlled by a wizard, and halves the speed of all others.	效果：全域附魔\n目標：不適用\n施法花費：400 法力\n維護：5 法力/回合\n使巫師所控制的所有船隻與御空單位速度加倍，並使其他所有單位速度減半。	help
Effects: Global Enchantment\nTarget: yourself\nCasting Cost: 400 mana\nUpkeep: 5 mana/turn\nHoodwinks all enemy wizards into liking the casting wizard. Each turn the spell is in effect, relations are shifted by +1 diplomatic point on a scale of -100 to +100.	效果：全域附魔\n目標：自身\n施法花費：400 法力\n維護：5 法力/回合\n蒙騙所有敵方巫師，使其對施法巫師心生好感。法術生效期間，每回合外交關係會在 -100 到 +100 的範圍內提升 +1 點。	help
Effects: Combat Summoning\nTarget: n/a\nCasting Cost: 35 mana\nUpkeep: none\nSummons an illusory phantom beast. A beast only appears if a battle is on land and if there are fewer than nine units already fighting for the wizard. The phantom beast is immune to all forms of death magic and disappears when combat ends.	效果：戰鬥召喚\n目標：不適用\n施法花費：35 法力\n維護：無\n召喚一隻虛幻的幻影野獸。只有當戰鬥發生在陸地上，且巫師麾下作戰的單位少於九個時，野獸才會出現。幻影野獸對所有形式的死亡魔法免疫，並在戰鬥結束時消失。	help
Effects: Instant \nTarget: one global enchantment\nCasting Cost: 200+ mana\nUpkeep: none\nEquivalent to a very strong version of the arcane magic Disjunction, with triple the chance of success. Each mana spent on casting this spell counts as three for the purposes of dispelling the target global enchantment.	效果：即時\n目標：單一全域附魔\n施法花費：200+ 法力\n維護：無\n相當於秘術魔法解離術的超強版本，成功機率為三倍。施放此法術所花費的每一點法力，在解除目標全域附魔時都視為三點。	help
Effects: Instant Combat\nTarget: one fantastic unit\nCasting Cost: 20+ mana\nUpkeep: none\nDestroys the magical bond that keeps a fantastic unit with its controlling magician. Each figure within the unit must resist at -3 or be returned whence they were summoned. Every additional 15 mana lowers the targets' resistance by one.	效果：即時戰鬥\n目標：單一奇幻單位\n施法花費：20+ 法力\n維護：無\n破壞將奇幻單位繫於其控制法師的魔法束縛。單位內的每個個體都必須以 -3 的懲罰進行抵抗，否則便會被遣返回召喚之地。每多花費 15 法力，便可使目標的抗性降低一點。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 500 mana\nUpkeep: 10 mana/turn\n Summons a lightning bolt-wielding storm giant. Storm giants not only hurl vicious lightning bolts over long distances, they also use lightning bolts when fighting hand-to-hand with their enemies.	效果：召喚\n目標：不適用\n施法花費：500 法力\n維護：10 法力/回合\n 召喚一個揮舞閃電箭的風暴巨人。風暴巨人不僅能在遠距離投擲兇猛的閃電箭，在與敵人近身搏鬥時也會運用閃電箭。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 50 mana\nUpkeep: none\nSummons an invisible, flying air elemental during battle. The creature disappears when combat ends. Note that a wizard must have fewer than nine units in a battle to summon this creature.	效果：召喚\n目標：不適用\n施法花費：50 法力\n維護：無\n在戰鬥中召喚一個隱形、會飛的風元素。此生物會在戰鬥結束時消失。請注意，巫師在戰鬥中麾下單位需少於九個才能召喚此生物。	help
Effects: Unit Enchantment\nTarget: enemy unit\nCasting Cost: 35 mana\nUpkeep: none\nCauses intense mental anguish to the creature(s) in a target enemy unit. Unable to concentrate, the creatures automatically (with no chance to resist) lose 5 to all of their melee, thrown and ranged attack strengths, defense and resistance. This spell does not effect units that have Immunity to Illusions.	效果：單位附魔\n目標：敵方單位\n施法花費：35 法力\n維護：無\n使目標敵方單位中的生物承受劇烈的精神痛苦。無法集中精神之下，這些生物會自動（毫無抵抗機會）使其所有近戰、投擲與遠程攻擊強度、防禦與抗性皆降低 5 點。此法術對具有幻象免疫的單位無效。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 50/250 mana\nUpkeep: 5 mana/turn\nMakes a target unit completely immune to all magic spells and spell-like effects. It also gives the unit immunity to breath and gaze attacks. Finally, the unit is almost completly immune to all magical ranged attacks.	效果：單位附魔\n目標：單一單位\n施法花費：50/250 法力\n維護：5 法力/回合\n使目標單位完全免疫所有魔法法術與類法術效果。同時也賦予該單位對吐息與凝視攻擊的免疫。最後，該單位幾乎完全免疫所有魔法遠程攻擊。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 650 mana\nUpkeep: 17 mana/turn\nSummons a djinn. This powerful, flying being can hurl ranged magic attacks at its opponents and is capable of casting up to 20 spell points of sorcery magic during every combat.	效果：召喚\n目標：不適用\n施法花費：650 法力\n維護：17 法力/回合\n召喚一個迪精。這個強大、會飛的存在能向對手投擲遠程魔法攻擊，且在每場戰鬥中最多能施放 20 點法術點的巫術魔法。	help
Effects: Unit Enchantment\nTarget: one fantastic unit\nCasting Cost: 70 mana\nUpkeep: none\nAttempts to alter the allegiance of a fantastic (i.e., summoned) creature. If a target creature fails to resist the spell (at a penalty of 2 to its resistance), it is bound to fight for the casting wizard until the end of combat (or until disenchanted). The bound creature disappears after combat ends.	效果：單位附魔\n目標：單一奇幻單位\n施法花費：70 法力\n維護：無\n試圖改變奇幻（即召喚）生物的歸屬。若目標生物未能抵抗此法術（抗性受到 2 點懲罰），便會被束縛為施法巫師作戰，直到戰鬥結束（或被祛魔為止）。被束縛的生物會在戰鬥結束後消失。	help
Effects: Instant\nTarget: Global Enchantment\nCasting Cost: 1000 mana\nUpkeep: as for target enchantment\nSteals a global enchantment from another wizard. The stolen global spell becomes the property of the casting wizard in terms of maintenance and control.	效果：即時\n目標：全域附魔\n施法花費：1000 法力\n維護：比照目標附魔\n從另一位巫師處竊取一道全域附魔。被竊取的全域法術在維護與控制上將歸施法巫師所有。	help
Effects: Fortress Enchantment\nTarget: wizard's city\nCasting Cost: 500 mana\nUpkeep: 25 mana/turn\nSuspends a wizard's enchanted fortress far above the earth. Only flying units may enter (or attack) and leave this 'city in the clouds.' The wizard's own foot troops may enter and exit the city overland; during combat, once a foot troop (non-flying unit) leaves the floating city it cannot re-enter until the battle is over.	效果：堡壘附魔\n目標：巫師的城市\n施法花費：500 法力\n維護：25 法力/回合\n將巫師的附魔堡壘懸浮於大地高空之上。只有飛行單位才能進入（或攻擊）並離開這座「雲端之城」。巫師自己的步兵可從陸路進出城市；但在戰鬥中，步兵（非飛行單位）一旦離開浮空城市，便無法在戰鬥結束前重新進入。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 1000 mana\nUpkeep: 25 mana/turn\nSummons a fierce, lightning-breathing wind dragon from the realm of air. The powerful sky drake is immune to magic and illusions. Its lightning breath can easily vaporize most opponents.	效果：召喚\n目標：不適用\n施法花費：1000 法力\n維護：25 法力/回合\n從風之領域召喚一頭兇猛、能噴吐閃電的風龍。強大的天空巨龍免疫魔法與幻象。其閃電吐息能輕易將大多數對手汽化。	help
Effects: Instant\nTarget: missile-armed enemy unit\nCasting Cost: 10 mana\nUpkeep: none\n Immediately twists and destroys all missile ammunition of a target normal unit, removing that unit's ability to attack at range. There is no way to prevent the effect of this spell.	效果：即時\n目標：配備遠程武器的敵方單位\n施法花費：10 法力\n維護：無\n 立即扭曲並摧毀目標常規單位的所有遠程彈藥，使該單位喪失遠程攻擊能力。無法以任何方式阻止此法術的效果。	help
Effects: Instant\nTarget: one wall section\nCasting Cost: 15 mana\nUpkeep: none\nDestroys one section of stone wall, clearing a way for troops to pass through.	效果：即時\n目標：單一牆段\n施法花費：15 法力\n維護：無\n摧毀一段石牆，為部隊清出一條通道。	help
